File 1,File 2,Similarity (%)
file1.py,file2.py,54.88
file1.py,file3.py,63.1
file1.py,file4.py,48.51
file1.py,file5.py,50.3
file2.py,file3.py,25.06
file2.py,file4.py,19.36
file2.py,file5.py,36.9
file3.py,file4.py,42.12
file3.py,file5.py,53.6
file4.py,file5.py,41.98
